pmid,title,journal,date
36481715,Time- and dose-dependent detoxification and reproductive endocrine disruption induced by tetrabromobisphenol A (TBBPA) in mussel Mytilus galloprovincialis,Mar Environ Res,2022/12/08
36470355,Exposure to bisphenol A and its analogs and polycystic ovarian syndrome in women of childbearing age: A multicenter case-control study,Chemosphere,2022/12/05
28085949,The Association between Exposure to Environmental Bisphenol A and Gonadotropic Hormone Levels among Men,PLoS One,2017/01/14
21868402,Prenatal environmental risk factors for genital malformations in a population of 1442 French male newborns: a nested case-control study,Hum Reprod,2011/08/27
36356671,Dietary patterns and urinary phthalate exposure among postmenopausal women of the Women's Health Initiative,Environ Res,2022/11/10
36209923,Associations between benzophenone-3 and sex steroid hormones among United States adult men,Reprod Toxicol,2022/10/09
36181856,"Competitive removal mechanism to simultaneously incarcerate bisphenol A, triclosan and 4-tert-octylphenol within beta-cyclodextrin crosslinked citric acid used for encapsulation in polypropylene membrane protected-micro-solid-phase extraction",Chemosphere,2022/10/01
35913088,"The joint action of unfolded protein response, circZc3h4, and circRNA Scar in procymidone-induced testicular injury in adolescent mice",Environ Toxicol,2022/08/01
35763622,Cholangiocarcinoma Attributed to Occupation: A Systematic Reviews,Asian Pac J Cancer Prev,2022/06/28
35681752,Long-Term Exposure to Decabromodiphenyl Ether Promotes the Proliferation and Tumourigenesis of Papillary Thyroid Carcinoma by Inhibiting TRß,Cancers (Basel),2022/06/10
35181438,"Endocrine disruptor hexachlorobenzene induces cell migration and invasion, and enhances aromatase expression levels in human endometrial stromal cells",Food Chem Toxicol,2022/02/19
35042051,"Assessment of automated off-line solid-phase extraction LC-MS/MS to monitor EPA priority endocrine disruptors in tap water, surface water, and wastewater",Talanta,2022/01/18
34743013,"Effects of bisphenol A on the proliferation, migration, and tumor growth of colon cancer cells: In vitro and in vivo evaluation with mechanistic insights related to ERK and 5-HT3",Food Chem Toxicol,2021/11/07
34635929,Thifluzamide exposure induced neuro-endocrine disrupting effects in zebrafish (Danio rerio),Arch Toxicol,2021/10/12
34536523,Uterotrophic and in vitro screening for (anti)estrogenic activity of dipyrone,Toxicol Lett,2021/09/18
34274678,Environmental and life-history factors influence inter-colony multidimensional niche metrics of a breeding Arctic marine bird,Sci Total Environ,2021/07/18
34252852,Single and mixture toxicity evaluation of three phenolic compounds to the terrestrial ecosystem,J Environ Manage,2021/07/12
33986332,A predictive in vitro risk assessment platform for pro-arrhythmic toxicity using human 3D cardiac microtissues,Sci Rep,2021/05/14
33691221,Low-level lead exposure promotes hepatic gluconeogenesis and contributes to the elevation of fasting glucose level,Chemosphere,2021/03/10
33562860,Fabric Phase Sorptive Extraction of Selected Steroid Hormone Residues in Commercial Raw Milk Followed by Ultra-High-Performance Liquid Chromatography-Tandem Mass Spectrometry,Foods,2021/02/10
